,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Max Timepoint
464,a251,Infubinol,Female,21,25,0,45.0,0,45
465,a251,Infubinol,Female,21,25,5,46.98212719,0,45
466,a251,Infubinol,Female,21,25,10,48.59117901,1,45
467,a251,Infubinol,Female,21,25,15,50.53445603,1,45
468,a251,Infubinol,Female,21,25,20,54.46259376,1,45
469,a251,Infubinol,Female,21,25,25,57.41464570000001,1,45
470,a251,Infubinol,Female,21,25,30,59.86124129,1,45
471,a251,Infubinol,Female,21,25,35,60.90388455,1,45
472,a251,Infubinol,Female,21,25,40,63.09507565,1,45
473,a251,Infubinol,Female,21,25,45,65.52574285,1,45
474,a275,Ceftamin,Female,20,28,0,45.0,0,45
475,a275,Ceftamin,Female,20,28,5,46.79525728,0,45
476,a275,Ceftamin,Female,20,28,10,47.37134328,0,45
477,a275,Ceftamin,Female,20,28,15,49.73440359,0,45
478,a275,Ceftamin,Female,20,28,20,50.51343652,1,45
479,a275,Ceftamin,Female,20,28,25,53.57606417,1,45
480,a275,Ceftamin,Female,20,28,30,54.44471317,2,45
481,a275,Ceftamin,Female,20,28,35,56.35353804,2,45
482,a275,Ceftamin,Female,20,28,40,60.92153868,3,45
483,a275,Ceftamin,Female,20,28,45,62.99935619,3,45
484,a577,Infubinol,Female,6,25,0,45.0,0,30
485,a577,Infubinol,Female,6,25,5,46.197719899999996,1,30
486,a577,Infubinol,Female,6,25,10,49.5096389,1,30
487,a577,Infubinol,Female,6,25,15,50.91500662,2,30
488,a577,Infubinol,Female,6,25,20,52.36518457,2,30
489,a577,Infubinol,Female,6,25,25,54.38093154,2,30
490,a577,Infubinol,Female,6,25,30,57.03186187,2,30
491,a685,Infubinol,Male,8,30,0,45.0,0,45
492,a685,Infubinol,Male,8,30,5,46.87048256,0,45
493,a685,Infubinol,Male,8,30,10,47.66475264,0,45
494,a685,Infubinol,Male,8,30,15,48.95147442,0,45
495,a685,Infubinol,Male,8,30,20,49.49055902,0,45
496,a685,Infubinol,Male,8,30,25,51.93995092,0,45
497,a685,Infubinol,Male,8,30,30,55.45385519,1,45
498,a685,Infubinol,Male,8,30,35,58.09262925,1,45
499,a685,Infubinol,Male,8,30,40,60.56790371,2,45
500,a685,Infubinol,Male,8,30,45,66.08306589,3,45
501,b447,Ceftamin,Male,2,30,0,45.0,0,0
502,b487,Ceftamin,Female,6,28,0,45.0,0,25
503,b487,Ceftamin,Female,6,28,5,46.21397739,0,25
504,b487,Ceftamin,Female,6,28,10,47.664387100000006,0,25
505,b487,Ceftamin,Female,6,28,15,51.68325586,0,25
506,b487,Ceftamin,Female,6,28,20,53.42766344,0,25
507,b487,Ceftamin,Female,6,28,25,56.05774909,1,25
508,b759,Ceftamin,Female,12,25,0,45.0,0,30
509,b759,Ceftamin,Female,12,25,5,48.00919049,0,30
510,b759,Ceftamin,Female,12,25,10,49.13335499,0,30
511,b759,Ceftamin,Female,12,25,15,51.58779906,0,30
512,b759,Ceftamin,Female,12,25,20,54.44303502,0,30
513,b759,Ceftamin,Female,12,25,25,55.08363235,0,30
514,b759,Ceftamin,Female,12,25,30,55.74282869,1,30
515,c139,Infubinol,Male,11,28,0,45.0,0,45
516,c139,Infubinol,Male,11,28,5,48.75311208,0,45
517,c139,Infubinol,Male,11,28,10,49.99295391,0,45
518,c139,Infubinol,Male,11,28,15,51.8332246,0,45
519,c139,Infubinol,Male,11,28,20,56.74200681,0,45
520,c139,Infubinol,Male,11,28,25,61.46196976,0,45
521,c139,Infubinol,Male,11,28,30,64.14987077,1,45
522,c139,Infubinol,Male,11,28,35,67.82141969,1,45
523,c139,Infubinol,Male,11,28,40,69.42814095,2,45
524,c139,Infubinol,Male,11,28,45,72.2267309,2,45
525,c326,Infubinol,Female,18,25,0,45.0,0,5
526,c326,Infubinol,Female,18,25,5,36.321345799999996,0,5
527,c895,Infubinol,Female,7,29,0,45.0,0,30
528,c895,Infubinol,Female,7,29,5,45.47754399,0,30
529,c895,Infubinol,Female,7,29,10,49.77901542,0,30
530,c895,Infubinol,Female,7,29,15,52.94946474,1,30
531,c895,Infubinol,Female,7,29,20,53.67683960000001,2,30
532,c895,Infubinol,Female,7,29,25,57.53419288,2,30
533,c895,Infubinol,Female,7,29,30,60.96971133,2,30
534,e476,Infubinol,Male,23,26,0,45.0,0,45
535,e476,Infubinol,Male,23,26,5,47.11180113,0,45
536,e476,Infubinol,Male,23,26,10,49.43168536,0,45
537,e476,Infubinol,Male,23,26,15,54.04621267,0,45
538,e476,Infubinol,Male,23,26,20,55.24927296,0,45
539,e476,Infubinol,Male,23,26,25,57.408638,0,45
540,e476,Infubinol,Male,23,26,30,57.99279743,1,45
541,e476,Infubinol,Male,23,26,35,60.064340200000004,1,45
542,e476,Infubinol,Male,23,26,40,61.52527583,1,45
543,e476,Infubinol,Male,23,26,45,62.43540402,1,45
544,f345,Infubinol,Male,23,26,0,45.0,0,45
545,f345,Infubinol,Male,23,26,5,45.5911466,0,45
546,f345,Infubinol,Male,23,26,10,47.22244619,0,45
547,f345,Infubinol,Male,23,26,15,48.35223854,0,45
548,f345,Infubinol,Male,23,26,20,49.61338303,0,45
549,f345,Infubinol,Male,23,26,25,53.0788944,0,45
550,f345,Infubinol,Male,23,26,30,54.36379731,1,45
551,f345,Infubinol,Male,23,26,35,56.52332726,1,45
552,f345,Infubinol,Male,23,26,40,58.31559250000001,1,45
553,f345,Infubinol,Male,23,26,45,60.91876652,1,45
554,f436,Ceftamin,Female,3,25,0,45.0,0,15
555,f436,Ceftamin,Female,3,25,5,46.37079759,1,15
556,f436,Ceftamin,Female,3,25,10,48.14697758,2,15
557,f436,Ceftamin,Female,3,25,15,48.72207785,2,15
558,h531,Ceftamin,Male,5,27,0,45.0,0,5
559,h531,Ceftamin,Male,5,27,5,47.784681799999994,0,5
560,i386,Infubinol,Female,23,29,0,45.0,0,40
561,i386,Infubinol,Female,23,29,5,46.85369669,1,40
562,i386,Infubinol,Female,23,29,10,49.86154739,2,40
563,i386,Infubinol,Female,23,29,15,51.73656088,2,40
564,i386,Infubinol,Female,23,29,20,55.08772445,2,40
565,i386,Infubinol,Female,23,29,25,56.68786392,3,40
566,i386,Infubinol,Female,23,29,30,59.13364029,3,40
567,i386,Infubinol,Female,23,29,35,64.92542037,3,40
568,i386,Infubinol,Female,23,29,40,67.28962147,4,40
569,j296,Ceftamin,Female,24,30,0,45.0,0,45
570,j296,Ceftamin,Female,24,30,5,46.79925591,1,45
571,j296,Ceftamin,Female,24,30,10,48.52997762,2,45
572,j296,Ceftamin,Female,24,30,15,50.70127959,2,45
573,j296,Ceftamin,Female,24,30,20,54.00534209,3,45
574,j296,Ceftamin,Female,24,30,25,55.76714817,3,45
575,j296,Ceftamin,Female,24,30,30,56.80306121,3,45
576,j296,Ceftamin,Female,24,30,35,58.71448296,3,45
577,j296,Ceftamin,Female,24,30,40,60.07268848,3,45
578,j296,Ceftamin,Female,24,30,45,61.84902336,3,45
579,k210,Ceftamin,Male,15,28,0,45.0,0,45
580,k210,Ceftamin,Male,15,28,5,47.91899771,0,45
581,k210,Ceftamin,Male,15,28,10,49.37993231,0,45
582,k210,Ceftamin,Male,15,28,15,51.07355752,0,45
583,k210,Ceftamin,Male,15,28,20,51.99761855,0,45
584,k210,Ceftamin,Male,15,28,25,54.61397279,0,45
585,k210,Ceftamin,Male,15,28,30,59.98950976,1,45
586,k210,Ceftamin,Male,15,28,35,63.32933023,1,45
587,k210,Ceftamin,Male,15,28,40,66.62283628,2,45
588,k210,Ceftamin,Male,15,28,45,68.92318457,3,45
589,k483,Infubinol,Female,20,30,0,45.0,0,45
590,k483,Infubinol,Female,20,30,5,46.61105571,0,45
591,k483,Infubinol,Female,20,30,10,50.29604123,1,45
592,k483,Infubinol,Female,20,30,15,53.24445813,1,45
593,k483,Infubinol,Female,20,30,20,54.77896052,1,45
594,k483,Infubinol,Female,20,30,25,57.43200731,2,45
595,k483,Infubinol,Female,20,30,30,59.74707708,2,45
596,k483,Infubinol,Female,20,30,35,60.54156159,2,45
597,k483,Infubinol,Female,20,30,40,64.13872489,3,45
598,k483,Infubinol,Female,20,30,45,66.19691151,3,45
599,k804,Infubinol,Female,23,29,0,45.0,0,35
600,k804,Infubinol,Female,23,29,5,48.26620364,0,35
601,k804,Infubinol,Female,23,29,10,49.47124419,0,35
602,k804,Infubinol,Female,23,29,15,50.47761824,0,35
603,k804,Infubinol,Female,23,29,20,54.48451945,0,35
604,k804,Infubinol,Female,23,29,25,55.67480798,1,35
605,k804,Infubinol,Female,23,29,30,59.24061511,2,35
606,k804,Infubinol,Female,23,29,35,62.11727887,2,35
607,l471,Ceftamin,Female,7,28,0,45.0,0,45
608,l471,Ceftamin,Female,7,28,5,46.25187204,0,45
609,l471,Ceftamin,Female,7,28,10,48.18206306,0,45
610,l471,Ceftamin,Female,7,28,15,49.40687901,0,45
611,l471,Ceftamin,Female,7,28,20,52.22832698,0,45
612,l471,Ceftamin,Female,7,28,25,52.84755893,1,45
613,l471,Ceftamin,Female,7,28,30,58.09360446,1,45
614,l471,Ceftamin,Female,7,28,35,61.40599916,1,45
615,l471,Ceftamin,Female,7,28,40,63.84485785,1,45
616,l471,Ceftamin,Female,7,28,45,67.74866174,1,45
617,l490,Ceftamin,Male,24,26,0,45.0,0,30
618,l490,Ceftamin,Male,24,26,5,45.61253918,1,30
619,l490,Ceftamin,Male,24,26,10,47.25960594,1,30
620,l490,Ceftamin,Male,24,26,15,50.52481268,1,30
621,l490,Ceftamin,Male,24,26,20,51.90544699,1,30
622,l490,Ceftamin,Male,24,26,25,55.81003359,2,30
623,l490,Ceftamin,Male,24,26,30,57.91838132,3,30
624,l558,Ceftamin,Female,13,30,0,45.0,0,10
625,l558,Ceftamin,Female,13,30,5,45.80908882,0,10
626,l558,Ceftamin,Female,13,30,10,46.78453491,0,10
627,l661,Ceftamin,Male,18,26,0,45.0,0,45
628,l661,Ceftamin,Male,18,26,5,46.26879904,0,45
629,l661,Ceftamin,Male,18,26,10,49.68361956,0,45
630,l661,Ceftamin,Male,18,26,15,50.94754484,1,45
631,l661,Ceftamin,Male,18,26,20,52.61749003,1,45
632,l661,Ceftamin,Male,18,26,25,53.18065678,2,45
633,l661,Ceftamin,Male,18,26,30,55.32909936,2,45
634,l661,Ceftamin,Male,18,26,35,56.47412871,2,45
635,l661,Ceftamin,Male,18,26,40,59.20566876,3,45
636,l661,Ceftamin,Male,18,26,45,59.85195552,3,45
637,l733,Ceftamin,Female,4,30,0,45.0,0,45
638,l733,Ceftamin,Female,4,30,5,46.17422627,0,45
639,l733,Ceftamin,Female,4,30,10,48.35495154,0,45
640,l733,Ceftamin,Female,4,30,15,49.28519504,0,45
641,l733,Ceftamin,Female,4,30,20,53.24431157,1,45
642,l733,Ceftamin,Female,4,30,25,54.95166826,1,45
643,l733,Ceftamin,Female,4,30,30,56.31906537,1,45
644,l733,Ceftamin,Female,4,30,35,57.60079774,1,45
645,l733,Ceftamin,Female,4,30,40,59.44350649999999,1,45
646,l733,Ceftamin,Female,4,30,45,64.29983003,1,45
647,m756,Infubinol,Male,19,30,0,45.0,0,5
648,m756,Infubinol,Male,19,30,5,47.01036401,1,5
649,n671,Infubinol,Male,18,25,0,45.0,0,30
650,n671,Infubinol,Male,18,25,5,47.35388938,0,30
651,n671,Infubinol,Male,18,25,10,51.03935653,0,30
652,n671,Infubinol,Male,18,25,15,54.21606411,0,30
653,n671,Infubinol,Male,18,25,20,54.82252091,0,30
654,n671,Infubinol,Male,18,25,25,56.17445785,0,30
655,n671,Infubinol,Male,18,25,30,60.16518046,0,30
656,o287,Ceftamin,Male,2,28,0,45.0,0,45
657,o287,Ceftamin,Male,2,28,5,45.58680362,0,45
658,o287,Ceftamin,Male,2,28,10,47.36020084,1,45
659,o287,Ceftamin,Male,2,28,15,48.67945261,1,45
660,o287,Ceftamin,Male,2,28,20,50.85614078,2,45
661,o287,Ceftamin,Male,2,28,25,52.06848642,3,45
662,o287,Ceftamin,Male,2,28,30,54.50300122,3,45
663,o287,Ceftamin,Male,2,28,35,55.11829029,4,45
664,o287,Ceftamin,Male,2,28,40,57.1971929,4,45
665,o287,Ceftamin,Male,2,28,45,59.74190064,4,45
666,o809,Infubinol,Male,3,25,0,45.0,0,35
667,o809,Infubinol,Male,3,25,5,46.87724316,0,35
668,o809,Infubinol,Male,3,25,10,48.6707318,0,35
669,o809,Infubinol,Male,3,25,15,49.68344504,1,35
670,o809,Infubinol,Male,3,25,20,50.33655288,1,35
671,o809,Infubinol,Male,3,25,25,52.31817407,1,35
672,o809,Infubinol,Male,3,25,30,54.832628799999995,1,35
673,o809,Infubinol,Male,3,25,35,55.62942846,1,35
674,o813,Infubinol,Male,24,28,0,45.0,0,5
675,o813,Infubinol,Male,24,28,5,45.69933088,0,5
676,p438,Ceftamin,Female,11,26,0,45.0,0,45
677,p438,Ceftamin,Female,11,26,5,46.82793418,0,45
678,p438,Ceftamin,Female,11,26,10,50.51749789,0,45
679,p438,Ceftamin,Female,11,26,15,52.19836818,0,45
680,p438,Ceftamin,Female,11,26,20,52.90529861,0,45
681,p438,Ceftamin,Female,11,26,25,54.51057493,0,45
682,p438,Ceftamin,Female,11,26,30,56.40642173,0,45
683,p438,Ceftamin,Female,11,26,35,57.53855546,1,45
684,p438,Ceftamin,Female,11,26,40,59.30528806,1,45
685,p438,Ceftamin,Female,11,26,45,61.43389223,1,45
686,q132,Infubinol,Female,1,30,0,45.0,0,30
687,q132,Infubinol,Female,1,30,5,46.7163985,1,30
688,q132,Infubinol,Female,1,30,10,47.95384377,2,30
689,q132,Infubinol,Female,1,30,15,49.15974862,3,30
690,q132,Infubinol,Female,1,30,20,51.90902494,4,30
691,q132,Infubinol,Female,1,30,25,52.78048929999999,4,30
692,q132,Infubinol,Female,1,30,30,54.65654872,4,30
693,q483,Ceftamin,Male,6,26,0,45.0,0,40
694,q483,Ceftamin,Male,6,26,5,46.77681624,1,40
695,q483,Ceftamin,Male,6,26,10,47.8391005,1,40
696,q483,Ceftamin,Male,6,26,15,48.4684826,1,40
697,q483,Ceftamin,Male,6,26,20,50.239855799999994,1,40
698,q483,Ceftamin,Male,6,26,25,52.43006649,1,40
699,q483,Ceftamin,Male,6,26,30,54.95222585,1,40
700,q483,Ceftamin,Male,6,26,35,59.25348433,1,40
701,q483,Ceftamin,Male,6,26,40,64.19234114,1,40
702,r157,Capomulin,Male,22,25,0,45.0,0,15
703,r157,Capomulin,Male,22,25,5,45.59706359,0,15
704,r157,Capomulin,Male,22,25,10,46.05960827,0,15
705,r157,Capomulin,Male,22,25,15,46.53920617,0,15
706,s121,Infubinol,Male,23,26,0,45.0,0,25
707,s121,Infubinol,Male,23,26,5,45.63566174,1,25
708,s121,Infubinol,Male,23,26,10,49.04883479,1,25
709,s121,Infubinol,Male,23,26,15,50.82456031,2,25
710,s121,Infubinol,Male,23,26,20,52.0050659,2,25
711,s121,Infubinol,Male,23,26,25,55.65068132,2,25
712,t573,Ceftamin,Female,15,27,0,45.0,0,0
713,u149,Ceftamin,Male,24,29,0,45.0,0,25
714,u149,Ceftamin,Male,24,29,5,45.79206792,0,25
715,u149,Ceftamin,Male,24,29,10,47.40483439,0,25
716,u149,Ceftamin,Male,24,29,15,48.52237343,0,25
717,u149,Ceftamin,Male,24,29,20,50.37805789,0,25
718,u149,Ceftamin,Male,24,29,25,52.92534846,0,25
719,u153,Ceftamin,Female,11,25,0,45.0,0,0
720,v339,Infubinol,Male,20,26,0,45.0,0,5
721,v339,Infubinol,Male,20,26,5,46.25011212,0,5
722,v719,Infubinol,Female,17,30,0,45.0,0,20
723,v719,Infubinol,Female,17,30,5,47.18836325,0,20
724,v719,Infubinol,Female,17,30,10,51.49705412,1,20
725,v719,Infubinol,Female,17,30,15,52.60910758,1,20
726,v719,Infubinol,Female,17,30,20,54.04860769,1,20
727,v766,Infubinol,Male,16,27,0,45.0,0,15
728,v766,Infubinol,Male,16,27,5,48.15125091,1,15
729,v766,Infubinol,Male,16,27,10,50.36310988,1,15
730,v766,Infubinol,Male,16,27,15,51.54243058,1,15
731,w151,Ceftamin,Male,24,25,0,45.0,0,45
732,w151,Ceftamin,Male,24,25,5,45.54607595,1,45
733,w151,Ceftamin,Male,24,25,10,46.50147609,1,45
734,w151,Ceftamin,Male,24,25,15,47.24292865,1,45
735,w151,Ceftamin,Male,24,25,20,49.55426295,2,45
736,w151,Ceftamin,Male,24,25,25,51.869058700000004,2,45
737,w151,Ceftamin,Male,24,25,30,56.76715821,2,45
738,w151,Ceftamin,Male,24,25,35,58.33914095,2,45
739,w151,Ceftamin,Male,24,25,40,62.18795039,2,45
740,w151,Ceftamin,Male,24,25,45,67.52748237,3,45
741,w193,Infubinol,Male,22,30,0,45.0,0,20
742,w193,Infubinol,Male,22,30,5,45.49385802,0,20
743,w193,Infubinol,Male,22,30,10,48.34655046,0,20
744,w193,Infubinol,Male,22,30,15,49.38557373,0,20
745,w193,Infubinol,Male,22,30,20,50.00513807,0,20
746,w584,Infubinol,Male,3,29,0,45.0,0,30
747,w584,Infubinol,Male,3,29,5,46.05193075,0,30
748,w584,Infubinol,Male,3,29,10,47.29850794,0,30
749,w584,Infubinol,Male,3,29,15,51.26543971,0,30
750,w584,Infubinol,Male,3,29,20,53.32350743,1,30
751,w584,Infubinol,Male,3,29,25,55.65083791,1,30
752,w584,Infubinol,Male,3,29,30,58.26844248,1,30
753,x226,Ceftamin,Male,23,28,0,45.0,0,0
754,x581,Ceftamin,Female,19,28,0,45.0,0,45
755,x581,Ceftamin,Female,19,28,5,47.1969266,0,45
756,x581,Ceftamin,Female,19,28,10,49.06702788,1,45
757,x581,Ceftamin,Female,19,28,15,49.74642744,2,45
758,x581,Ceftamin,Female,19,28,20,51.20796943,3,45
759,x581,Ceftamin,Female,19,28,25,51.93528318,3,45
760,x581,Ceftamin,Female,19,28,30,55.49282602,3,45
761,x581,Ceftamin,Female,19,28,35,58.07758293,3,45
762,x581,Ceftamin,Female,19,28,40,60.28040549,3,45
763,x581,Ceftamin,Female,19,28,45,64.63494887,3,45
764,x822,Ceftamin,Male,3,29,0,45.0,0,45
765,x822,Ceftamin,Male,3,29,5,45.67110442,1,45
766,x822,Ceftamin,Male,3,29,10,48.98371668,1,45
767,x822,Ceftamin,Male,3,29,15,49.69466533,1,45
768,x822,Ceftamin,Male,3,29,20,51.91490968,2,45
769,x822,Ceftamin,Male,3,29,25,54.04133326,2,45
770,x822,Ceftamin,Male,3,29,30,55.44515483,2,45
771,x822,Ceftamin,Male,3,29,35,56.79656665,2,45
772,x822,Ceftamin,Male,3,29,40,59.55568466,2,45
773,x822,Ceftamin,Male,3,29,45,61.38666032,3,45
774,y163,Infubinol,Female,17,27,0,45.0,0,45
775,y163,Infubinol,Female,17,27,5,48.28497016,0,45
776,y163,Infubinol,Female,17,27,10,49.112399100000005,1,45
777,y163,Infubinol,Female,17,27,15,51.52306843,1,45
778,y163,Infubinol,Female,17,27,20,54.57107607,1,45
779,y163,Infubinol,Female,17,27,25,56.17638452,1,45
780,y163,Infubinol,Female,17,27,30,59.41253724,2,45
781,y163,Infubinol,Female,17,27,35,61.73019562,2,45
782,y163,Infubinol,Female,17,27,40,63.62067958,2,45
783,y163,Infubinol,Female,17,27,45,67.68556862,3,45
784,y769,Ceftamin,Female,6,27,0,45.0,0,45
785,y769,Ceftamin,Female,6,27,5,46.42265176,1,45
786,y769,Ceftamin,Female,6,27,10,48.01516261,1,45
787,y769,Ceftamin,Female,6,27,15,52.76102114,2,45
788,y769,Ceftamin,Female,6,27,20,55.02572434,2,45
789,y769,Ceftamin,Female,6,27,25,58.33595901,3,45
790,y769,Ceftamin,Female,6,27,30,61.07194886,3,45
791,y769,Ceftamin,Female,6,27,35,63.43063221,3,45
792,y769,Ceftamin,Female,6,27,40,64.25102761,4,45
793,y769,Ceftamin,Female,6,27,45,68.59474498,4,45
794,y865,Ceftamin,Male,23,26,0,45.0,0,45
795,y865,Ceftamin,Male,23,26,5,46.73500592,1,45
796,y865,Ceftamin,Male,23,26,10,49.52273955,1,45
797,y865,Ceftamin,Male,23,26,15,50.80651856,1,45
798,y865,Ceftamin,Male,23,26,20,52.36198241,1,45
799,y865,Ceftamin,Male,23,26,25,57.17353846,2,45
800,y865,Ceftamin,Male,23,26,30,59.0332753,3,45
801,y865,Ceftamin,Male,23,26,35,61.15313991,3,45
802,y865,Ceftamin,Male,23,26,40,63.46954946,3,45
803,y865,Ceftamin,Male,23,26,45,64.72983655,3,45
804,z581,Infubinol,Female,24,25,0,45.0,0,45
805,z581,Infubinol,Female,24,25,5,49.27309187,1,45
806,z581,Infubinol,Female,24,25,10,50.47875016,2,45
807,z581,Infubinol,Female,24,25,15,51.1963042,2,45
808,z581,Infubinol,Female,24,25,20,51.80794416,2,45
809,z581,Infubinol,Female,24,25,25,54.31640682,2,45
810,z581,Infubinol,Female,24,25,30,56.28674991,2,45
811,z581,Infubinol,Female,24,25,35,58.62839878,3,45
812,z581,Infubinol,Female,24,25,40,60.05373963,3,45
813,z581,Infubinol,Female,24,25,45,62.75445141,3,45
